# model-pricing.tsv — single source of truth for LLM token prices (USD per 1M tokens).
#
# Consumed by scripts/lib/model-pricing.sh (price_for / cost_usd / et_multiplier_for).
# Every price change is a reviewed PR — prices are DATA, not code.
#
# Columns (TAB-separated):
#   1 model_glob      shell glob matched against the record's model string ('*' wildcard)
#   2 effective_from  ISO date (UTC) this rate took effect; rows are date-versioned
#   3 input           USD / MTok for base (uncached) input tokens
#   4 cache_read      USD / MTok for cache-read (hit) tokens
#   5 cache_write     USD / MTok for cache-creation (write) tokens
#   6 output          USD / MTok for output tokens
#
# SELECTION (deterministic): for a record with model M and timestamp T, pick the row
# whose glob matches M AND whose effective_from <= T, choosing the MOST SPECIFIC glob
# (most literal characters); ties break to the LATEST effective_from. So a call is
# always priced at the rate in effect on the day it ran.
#
# PRICE CHANGES: never edit an existing row — APPEND a new row for the same glob with a
# later effective_from. Old records keep their historical rate; new ones pick up the new
# rate automatically. Example (Sonnet drops on 2026-09-01):
#   claude-sonnet-4-*    2026-09-01    2.50    0.25    3.125    12.50
#
# cache_write is Anthropic's 5-minute cache-write rate (1.25x base input). Batch (-50%),
# fast-mode, data-residency (1.1x) and server-tool surcharges are NOT modelled.
#
# Claude rates verified against https://platform.claude.com/docs/en/docs/about-claude/pricing
# (2026-06-06). Non-Claude rows are best-effort — verify before trusting (marked VERIFY).
#
# model_glob	effective_from	input	cache_read	cache_write	output

# ── Anthropic Claude (authoritative) ──────────────────────────────────────────
claude-opus-4-1*	2025-01-01	15.00	1.50	18.75	75.00
claude-opus-4-0*	2025-01-01	15.00	1.50	18.75	75.00
claude-opus-4-*	2025-11-01	5.00	0.50	6.25	25.00
claude-sonnet-4-*	2025-01-01	3.00	0.30	3.75	15.00
claude-haiku-4-5*	2025-10-01	1.00	0.10	1.25	5.00
claude-haiku-3-5*	2024-01-01	0.80	0.08	1.00	4.00

# ── Cross-engine (VERIFY — provisional; cache_write placeholder = input) ───────
o4-mini*	2025-01-01	2.00	0.50	2.00	8.00
gemini-3.5-flash*	2026-06-11	0.30	0.03	0.30	1.20
*gemini*flash*	2025-01-01	0.50	0.05	0.50	2.00
*gemini*pro*	2025-01-01	2.00	0.20	2.00	8.00
